,Unnamed: 0,ID,RAJ2000,DecJ2000,Distance,Vc,Mass,Momentum,Energy,Dynamical Time,Cloud_Mass,Cloud_Energy,Energy_(of/cloud+of)
2,2,0,304.602,42.033,1.5,-3.9,1.29,2.96,0.77,18.9,175.675,16.922,0.043684657
4,4,0,305.131,42.434,1.5,-1.8,0.23,0.6,0.18,31.5,18.9,1.986,0.083525611
6,85,0,305.158,42.04,1.5,-3.8,0.83,1.39,0.26,21.0,96.99,4.677,0.051703162999999996
7,7,0,305.614,41.602,0.65,5.9,0.03,0.04,0.01,1.2,5.287000000000001,0.237,0.028688525
8,8,0,305.842,41.295,1.5,-2.5,2.07,7.77,3.12,18.9,320.885,48.67100000000001,0.060242127
13,13,G79.962+2.556,306.196,42.137,0.65,5.5,0.01,0.1,0.1,2.5,3.616023058,1.5151680090000001,0.060182772
14,14,0,306.817,39.479,1.5,-0.6,0.12,0.33,0.12,4.4,203.253,13.687999999999999,0.008834178
26,26,0,307.899,45.098,1.5,-1.5,2.08,8.29,3.8,14.0,460.228,35.4,0.096892699
28,86,0,308.058,43.697,1.5,-1.1,0.94,1.85,0.4,42.0,57.413999999999994,5.287999999999999,0.070160014
31,31,0,308.099,43.683,0.65,1.2,0.72,1.44,0.36,13.6,22.804000000000002,2.029,0.152464495
32,32,0,308.128,43.959,1.5,-6.1,0.59,1.73,0.53,13.3,91.07700000000001,7.481,0.066042447
33,33,0,308.227,43.725,1.5,-2.4,0.0,0.0,0.0,7.0,10.889000000000001,1.21,0.0
37,37,0,308.731,40.683,1.3,8.2,0.07,0.17,0.05,20.6,5.995,1.494,0.03238342
39,39,G80.815+0.661,308.918,41.709,1.5,-3.0,0.15,0.39,0.14,30.0,6.347718231,0.9908239190000001,0.122311053
57,57,G81.770+0.851,309.486,42.597,1.5,-0.4,0.52,1.3,0.41,27.3,63.06238089,2.148515566,0.160475338
73,73,G81.559+0.183,310.044,42.016,1.3,9.3,0.29,0.87,0.32,14.3,34.20436201,4.267102728,0.06933451
81,81,G82.189-0.042,310.813,42.374,0.65,7.2,0.18,0.55,0.24,8.5,3.525396096,1.546235112,0.136168525
