,ID,RAJ2000,DecJ2000,RA_proto,Dec_proto,Dist_proto,logL_proto,alpha_proto
0,b'0',304.495,41.938,304.503,41.921,68.0,1.1,0.4
1,b'0',304.506,41.926,304.508,41.921,19.0,1.5,0.5
2,b'0',305.121,41.414,305.133,41.398,72.0,0.8,1.4
3,b'0',305.133,41.396,305.133,41.398,7.0,0.8,1.4
4,b'0',305.942,41.29,305.939,41.296,24.0,0.5,1.1
5,b'G79.886+2.552',306.127,42.072,306.127,42.069,11.0,1.9,0.2
6,b'G80.158+2.727',306.144,42.394,306.142,42.392,10.0,1.2,0.8
7,b'G80.149+2.710',306.154,42.376,306.141,42.388,64.0,1.2,2.0
8,b'0',307.051,40.51,307.055,40.507,18.0,0.3,-0.0
9,b'0',307.237,40.553,307.246,40.543,48.0,0.8,1.0
10,b'0',307.256,40.537,307.246,40.543,42.0,0.8,1.0
11,b'0',307.263,40.565,307.255,40.55,61.0,0.1,0.7
12,b'0',307.34,40.653,307.346,40.632,79.0,0.3,1.9
13,b'0',307.36,40.602,307.358,40.601,8.0,0.3,1.9
14,b'0',307.408,40.666,307.401,40.685,73.0,0.8,0.3
15,b'0',307.615,41.269,307.622,41.266,27.0,1.9,0.8
16,b'0',307.714,41.041,307.711,41.041,11.0,2.4,1.9
17,b'G81.435+2.147',307.801,43.096,307.799,43.097,8.0,0.8,1.8
18,b'G81.424+2.140',307.803,43.085,307.803,43.083,7.0,0.5,0.9
19,b'0',307.899,41.07,307.902,41.068,13.0,0.7,0.6
20,b'0',308.08,41.133,308.088,41.132,29.0,2.4,1.7
21,b'0',308.091,41.116,308.097,41.114,23.0,0.1,1.2
22,b'0',308.63,41.276,308.631,41.277,5.0,1.7,1.1
23,b'0',308.655,40.862,308.652,40.865,15.0,1.3,1.4
24,b'0',308.682,40.886,308.68,40.887,8.0,2.3,0.1
25,b'G81.302+1.055',308.891,42.341,308.89,42.338,11.0,1.7,1.3
26,b'G81.218+0.877',309.009,42.167,309.019,42.18,59.0,-0.6,0.3
27,b'G80.832+0.570',309.034,41.671,309.044,41.669,37.0,0.9,0.8
28,b'G81.140+0.687',309.155,41.988,309.136,41.995,73.0,-0.4,1.4
29,b'G81.829+1.195',309.158,42.846,309.168,42.842,39.0,2.0,1.2
30,b'G81.539+0.983',309.161,42.484,309.161,42.485,4.0,1.2,1.7
31,b'G81.365+0.781',309.232,42.22,309.254,42.205,96.0,-0.1,0.2
32,b'G81.340+0.755',309.244,42.192,309.241,42.192,11.0,1.8,1.6
33,b'G80.862+0.385',309.254,41.58,309.261,41.578,26.0,1.7,1.3
34,b'G81.462+0.736',309.348,42.27,309.35,42.249,76.0,0.2,0.7
35,b'G80.916+0.331',309.356,41.594,309.358,41.595,8.0,1.7,0.1
36,b'G81.437+0.728',309.357,42.252,309.35,42.249,27.0,0.2,0.7
37,b'G81.460+0.735',309.363,42.272,309.375,42.277,47.0,0.2,0.8
38,b'NA (name 8.a)',309.378,42.232,309.377,42.233,5.0,2.0,1.2
39,b'NA (name 8.b)',309.39,42.226,309.383,42.217,41.0,2.1,1.7
40,b'G81.794+0.910',309.445,42.64,309.447,42.645,19.0,2.1,1.5
41,b'G81.861+0.959',309.45,42.726,309.451,42.722,15.0,-0.2,0.3
42,b'G81.813+0.919',309.451,42.662,309.434,42.66,62.0,-0.4,0.3
43,b'G81.857+0.905',309.5,42.691,309.497,42.675,59.0,0.9,1.7
44,b'G81.831+0.880',309.51,42.652,309.516,42.659,33.0,1.5,1.0
45,b'G81.634+0.726',309.512,42.407,309.514,42.406,8.0,0.8,0.2
46,b'G81.867+0.780',309.637,42.645,309.632,42.643,19.0,0.6,0.9
47,b'G81.773+0.687',309.674,42.484,309.683,42.484,32.0,0.1,1.2
48,b'G81.681+0.540',309.72,42.316,309.743,42.316,83.0,2.1,1.6
49,b'0',309.752,42.32,309.743,42.316,35.0,2.1,1.6
50,b'G81.663+0.468',309.82,42.278,309.82,42.269,32.0,2.4,-0.1
51,b'0',309.856,41.328,309.864,41.314,58.0,1.7,0.8
52,b'0',309.873,41.368,309.878,41.366,19.0,0.5,0.3
53,b'0',309.88,41.364,309.878,41.366,10.0,0.5,0.3
54,b'0',309.882,41.337,309.881,41.334,11.0,1.6,0.9
55,b'0',309.898,41.328,309.9,41.323,19.0,1.3,0.2
56,b'G81.117-0.140',310.017,41.465,310.017,41.459,22.0,2.0,0.3
57,b'G81.175-0.100',310.022,41.538,310.023,41.537,5.0,1.5,2.3
58,b'G81.551+0.098',310.118,41.952,310.119,41.953,5.0,2.0,1.6
59,b'G81.450+0.016',310.127,41.822,310.13,41.825,15.0,0.5,1.8
60,b'G81.476+0.020',310.138,41.852,310.132,41.846,31.0,0.1,0.5
61,b'G81.582+0.104',310.14,41.983,310.139,41.984,5.0,1.0,1.9
62,b'G81.317-0.103',310.142,41.65,310.145,41.646,18.0,0.7,2.1
63,b'G81.632+0.102',310.185,42.025,310.188,42.043,66.0,0.5,0.1
64,b'new?',310.639,42.463,310.643,42.459,20.0,1.8,2.1
65,b'G82.581+0.203',310.867,42.833,310.868,42.817,58.0,2.3,0.8
66,b'G82.571+0.194',310.868,42.816,310.868,42.817,4.0,2.3,0.8
